#TYPE System.IO.FileInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","VersionInfo","BaseName","Target","LinkType","Name","Length","DirectoryName","Directory","IsReadOnly","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\CoverLetters\the-cover-letter.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\CoverLetters","the-cover-letter.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\CoverLetters\the-cover-letter.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","the-cover-letter","System.Collections.Generic.List`1[System.String]",,"the-cover-letter.docx","22892","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\CoverLetters","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\CoverLetters","False","True","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\CoverLetters\the-cover-letter.docx",".docx","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:46:43 PM","4/20/2022 3:46:43 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\2010AdoptedScienceStandards.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","2010AdoptedScienceStandards.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\2010AdoptedScienceStandards.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","2010AdoptedScienceStandards","System.Collections.Generic.List`1[System.String]",,"2010AdoptedScienceStandards.pdf","528847","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","False","True","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\2010AdoptedScienceStandards.pdf",".pdf","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:46:45 PM","4/20/2022 3:46:45 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\cle-other-science.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","cle-other-science.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\cle-other-science.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","cle-other-science","System.Collections.Generic.List`1[System.String]",,"cle-other-science.pdf","491735","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","False","True","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\cle-other-science.pdf",".pdf","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:46:45 PM","4/20/2022 3:46:45 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\K-12_Science_Performance_Expectations_v5_496901_7.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","K-12_Science_Performance_Expectations_v5_496901_7.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\K-12_Science_Performance_Expectations_v5_496901_7.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","K-12_Science_Performance_Expectations_v5_496901_7","System.Collections.Generic.List`1[System.String]",,"K-12_Science_Performance_Expectations_v5_496901_7.pdf","1017137","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","False","True","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\K-12_Science_Performance_Expectations_v5_496901_7.pdf",".pdf","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:48:13 PM","4/20/2022 3:48:13 AM","4/19/2022 11:46:47 PM","4/20/2022 3:46:47 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\nssmic15.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","nssmic15.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\nssmic15.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","nssmic15","System.Collections.Generic.List`1[System.String]",,"nssmic15.docx","71009","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","False","True","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\nssmic15.docx",".docx","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:46:47 PM","4/20/2022 3:46:47 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014","System.Collections.Generic.List`1[System.String]",,"South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf","1167470","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","False","True","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf",".pdf","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:46:51 PM","4/20/2022 3:46:51 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\stds_scienceKinder.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","stds_scienceKinder.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\stds_scienceKinder.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","stds_scienceKinder","System.Collections.Generic.List`1[System.String]",,"stds_scienceKinder.pdf","61430","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences","False","True","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Sciences\stds_scienceKinder.pdf",".pdf","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:46:51 PM","4/20/2022 3:46:51 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates\APA-Citation-Work-Cited1.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates","APA-Citation-Work-Cited1.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates\APA-Citation-Work-Cited1.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","APA-Citation-Work-Cited1","System.Collections.Generic.List`1[System.String]",,"APA-Citation-Work-Cited1.docx","49920","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates","False","True","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates\APA-Citation-Work-Cited1.docx",".docx","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:46:51 PM","4/20/2022 3:46:51 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates\Microsoft-Word-Trifold-Brochure-Template.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates","Microsoft-Word-Trifold-Brochure-Template.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates\Microsoft-Word-Trifold-Brochure-Template.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Microsoft-Word-Trifold-Brochure-Template","System.Collections.Generic.List`1[System.String]",,"Microsoft-Word-Trifold-Brochure-Template.docx","79583","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates","False","True","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates\Microsoft-Word-Trifold-Brochure-Template.docx",".docx","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:46:52 PM","4/20/2022 3:46:52 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates\rgo_template.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates","rgo_template.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates\rgo_template.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","rgo_template","System.Collections.Generic.List`1[System.String]",,"rgo_template.docx","8362477","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates","False","True","C:\Users\benhacked.EMUL\Desktop\SYS-320-SP22\Week12\homework\Documents\Templates\rgo_template.docx",".docx","4/19/2022 11:48:12 PM","4/20/2022 3:48:12 AM","4/19/2022 11:48:35 PM","4/20/2022 3:48:35 AM","4/19/2022 11:46:53 PM","4/20/2022 3:46:53 AM","Archive"
